order_id,sale_date,delivery_date,delivery_status,product,customer_feedback,sales_region,quantity,sales_amount_cny,月份,货品交货状况,销售区域,货品,delivery_days,is_on_time,data_quality_flag
P096311,2016-07-30,2016-9-30,晚交货,货品3,质量合格,华北,2.0,1052.75,7,晚交货,华北,货品3,62,False,正常
P096826,2016-08-30,2016-10-30,按时交货,货品3,质量合格,华北,10.0,115000.0,8,按时交货,华北,货品3,61,True,正常
P097435,2016-07-30,2016-9-30,按时交货,货品1,返修,华南,2.0,6858.77,7,按时交货,华南,货品1,62,True,正常
P097446,2016-11-26,2017-1-26,晚交货,货品3,质量合格,华北,15.0,129.58,11,晚交货,华北,货品3,61,False,正常
P097446,2016-11-26,2017-1-26,晚交货,货品3,拒货,华北,15.0,32.39,11,晚交货,华北,货品3,61,False,正常
P098065,2016-07-15,2016-10-15,按时交货,货品2,返修,华东,1.0,22192.97,7,按时交货,华东,货品2,92,True,正常
P098065,2016-08-10,2016-11-10,按时交货,货品1,质量合格,华南,1.0,25723.04,8,按时交货,华南,货品1,92,True,正常
P098823,2016-09-30,2016-11-30,按时交货,货品1,拒货,华南,2.0,6934.75,9,按时交货,华南,货品1,61,True,正常
P099725,2016-08-03,2016-11-3,晚交货,货品3,质量合格,华北,1.0,1319.63,8,晚交货,华北,货品3,92,False,正常
P109038,2016-12-30,2017-2-28,晚交货,货品2,返修,马来西亚,1.0,2910.61,12,晚交货,马来西亚,货品2,60,False,正常
P109038,2016-12-30,2017-2-28,晚交货,货品2,质量合格,马来西亚,1.0,2910.61,12,晚交货,马来西亚,货品2,60,False,正常
P109736,2016-12-30,2017-2-28,按时交货,货品1,拒货,华南,1.0,30718.0,12,按时交货,华南,货品1,60,True,正常
P110672,2016-07-15,2016-10-15,按时交货,货品1,拒货,华南,280.0,19755.19,7,按时交货,华南,货品1,92,True,正常
P110672,2016-09-15,2016-12-15,按时交货,货品1,质量合格,华南,280.0,19755.19,9,按时交货,华南,货品1,91,True,正常
P111812,2016-08-25,2016-10-25,按时交货,货品1,质量合格,华南,1.0,17538.97,8,按时交货,华南,货品1,61,True,正常
P111812,2016-08-25,2016-10-25,按时交货,货品1,拒货,华南,1.0,17538.97,8,按时交货,华南,货品1,61,True,正常
P112481,2016-09-12,2016-12-12,晚交货,货品2,拒货,马来西亚,1.0,1140.53,9,晚交货,马来西亚,货品2,91,False,正常
P112700,2016-07-30,2016-9-30,按时交货,货品2,拒货,马来西亚,2.0,44.19,7,按时交货,马来西亚,货品2,62,True,正常
P113276,2016-08-22,2016-11-22,晚交货,货品2,拒货,马来西亚,1.0,38.97,8,晚交货,马来西亚,货品2,92,False,正常
P114322,2016-12-15,2017-3-15,晚交货,货品2,拒货,马来西亚,1.0,200.61,12,晚交货,马来西亚,货品2,90,False,正常
P114322,2016-11-22,2017-2-22,晚交货,货品2,拒货,马来西亚,1.0,200.61,11,晚交货,马来西亚,货品2,92,False,正常
P116102,2016-08-30,2016-10-30,按时交货,货品6,质量合格,马来西亚,1.0,92.0,8,按时交货,马来西亚,货品6,61,True,正常
P117997,2016-08-25,2016-10-25,晚交货,货品2,拒货,马来西亚,1500.0,4419.19,8,晚交货,马来西亚,货品2,61,False,正常
P121154,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,1.0,327000.0,7,按时交货,华北,货品3,62,True,正常
P122441,2016-08-31,2016-10-31,按时交货,货品5,拒货,泰国,1.0,348.74,8,按时交货,泰国,货品5,61,True,正常
P122603,2016-08-31,2016-10-31,按时交货,货品6,质量合格,马来西亚,1.0,36.71,8,按时交货,马来西亚,货品6,61,True,正常
P122660,2016-08-31,2016-10-31,晚交货,货品2,返修,马来西亚,1.0,152.59,8,晚交货,马来西亚,货品2,61,False,正常
P122837,2016-08-31,2016-10-31,按时交货,货品4,返修,西北,1.0,399.94,8,按时交货,西北,货品4,61,True,正常
P123073,2016-08-31,2016-10-31,按时交货,货品6,质量合格,马来西亚,4.0,7.69,8,按时交货,马来西亚,货品6,61,True,正常
P123092,2016-10-01,2016-11-30,按时交货,货品5,质量合格,泰国,7.0,104.9,10,按时交货,泰国,货品5,60,True,正常
P123140,2016-08-31,2016-10-31,按时交货,货品5,质量合格,泰国,1.0,158.3,8,按时交货,泰国,货品5,61,True,正常
P123314,2016-10-01,2016-11-30,按时交货,货品6,质量合格,马来西亚,1.0,7.5,10,按时交货,马来西亚,货品6,60,True,正常
P123487,2016-08-15,2016-11-15,按时交货,货品6,质量合格,马来西亚,1.0,200.25,8,按时交货,马来西亚,货品6,92,True,正常
P123511,2016-12-10,2017-3-10,晚交货,货品2,拒货,华东,1.0,6984.25,12,晚交货,华东,货品2,90,False,正常
P121154,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,1.0,32.7,7,按时交货,华北,货品3,62,True,正常
P122603,2016-08-31,2016-10-31,按时交货,货品6,质量合格,马来西亚,1.0,36.71,8,按时交货,马来西亚,货品6,61,True,正常
P122660,2016-08-31,2016-10-31,晚交货,货品2,返修,马来西亚,1.0,152.59,8,晚交货,马来西亚,货品2,61,False,正常
P122837,2016-08-31,2016-10-31,按时交货,货品4,返修,西北,1.0,399.94,8,按时交货,西北,货品4,61,True,正常
P123073,2016-08-31,2016-10-31,按时交货,货品6,质量合格,马来西亚,4.0,7.69,8,按时交货,马来西亚,货品6,61,True,正常
P123092,2016-10-01,2016-11-30,按时交货,货品5,质量合格,泰国,7.0,104.9,10,按时交货,泰国,货品5,60,True,正常
P123140,2016-08-31,2016-10-31,按时交货,货品5,质量合格,泰国,1.0,158.3,8,按时交货,泰国,货品5,61,True,正常
P123314,2016-10-01,2016-11-30,按时交货,货品6,质量合格,马来西亚,1.0,7.5,10,按时交货,马来西亚,货品6,60,True,正常
P123487,2016-08-15,2016-11-15,按时交货,货品6,质量合格,马来西亚,1.0,200.25,8,按时交货,马来西亚,货品6,92,True,正常
P123511,2016-12-10,2017-3-10,晚交货,货品2,拒货,华东,1.0,6984.25,12,晚交货,华东,货品2,90,False,正常
P123511,2016-10-08,2017-1-8,晚交货,货品2,拒货,华东,1.0,6984.25,10,晚交货,华东,货品2,92,False,正常
P123703,2016-08-15,2016-11-15,按时交货,货品6,质量合格,马来西亚,5.0,7.09,8,按时交货,马来西亚,货品6,92,True,正常
P124553,2016-08-24,2016-11-24,按时交货,货品6,质量合格,马来西亚,1.0,15.46,8,按时交货,马来西亚,货品6,92,True,正常
P124855,2016-12-01,2017-1-31,按时交货,货品6,质量合格,马来西亚,1.0,22.59,12,按时交货,马来西亚,货品6,61,True,正常
